,datetime,name,price,quantity
105,2019-08-03 18:00:00,Mint Sauce,0.5,1
106,2019-08-03 18:00:00,Mango Chutney,0.5,1
107,2019-08-03 18:00:00,Korma Sauce,3.95,1
108,2019-08-03 17:58:00,Pathia - Prawn,9.95,1
109,2019-08-03 17:58:00,Chicken Biryani,9.95,1
110,2019-08-03 17:58:00,Peshwari Naan,2.95,2
111,2019-08-03 17:58:00,Plain Papadum,0.8,1
112,2019-08-03 17:58:00,Mint Sauce,0.5,1
113,2019-08-03 17:57:00,Chicken Tikka Jalfrezi,8.95,1
114,2019-08-03 17:57:00,Bhuna - Lamb,8.95,1
115,2019-08-03 17:57:00,Special Fried Rice,3.95,2
116,2019-08-03 17:57:00,Peshwari Naan,2.95,1
117,2019-08-03 17:57:00,Aloo Gobi,5.95,1
118,2019-08-03 17:57:00,Chicken Tikka Masala,8.95,1
119,2019-08-03 17:52:00,Meat Samosa,3.95,1
120,2019-08-03 17:52:00,Mixed Vegetable Curry,5.95,1
121,2019-08-03 17:52:00,Dupiaza - Lamb,8.95,1
122,2019-08-03 17:52:00,Lemon Rice,3.95,1
123,2019-08-03 17:52:00,Methi - Lamb,8.95,1
124,2019-08-03 17:52:00,Pilau Rice,2.95,1
125,2019-08-03 17:52:00,Garlic Naan,2.95,1
126,2019-08-03 17:52:00,Onion Bhajee,3.95,1
127,2019-08-03 17:52:00,Spicy Papadum,0.8,1
128,2019-08-03 17:18:00,Plain Naan,2.6,1
129,2019-08-03 17:18:00,Pilau Rice,2.95,1
130,2019-08-03 17:18:00,Chicken Tikka Masala,8.95,1
131,2019-08-03 17:18:00,Bhuna - Lamb,8.95,1
132,2019-08-03 17:18:00,Plain Papadum,0.8,2
133,2019-08-03 16:21:00,Lamb Biryani,9.95,1
134,2019-08-03 16:21:00,Plain Naan,2.6,2
135,2019-08-02 20:23:00,Lamb Tikka,4.95,1
136,2019-08-02 20:23:00,Onion Bhajee,3.95,1
137,2019-08-02 20:23:00,Saag Paneer,5.95,1
138,2019-08-02 20:23:00,Chicken Tikka Masala,8.95,1
139,2019-08-02 20:23:00,Keema Rice,3.95,1
140,2019-08-02 20:23:00,Rogon - Lamb,8.95,1
141,2019-08-02 20:23:00,Chicken Tikka Karahi,9.95,1
142,2019-08-02 20:23:00,Pilau Rice,2.95,1
143,2019-08-02 20:23:00,Bombay Aloo,5.95,1
144,2019-08-02 20:18:00,Onion Bhajee,3.95,1
145,2019-08-02 20:18:00,French Fries,3.95,1
146,2019-08-02 20:18:00,Chicken Tikka Masala,8.95,1
147,2019-08-02 20:18:00,Korma - Chicken,8.95,1
148,2019-08-02 20:18:00,Plain Naan,2.6,1
149,2019-08-02 20:18:00,Pilau Rice,2.95,1
150,2019-08-02 19:33:00,Aloo Chaat,4.95,1
151,2019-08-02 19:33:00,Chicken Tikka Masala,8.95,1
152,2019-08-02 19:33:00,Garlic Naan,2.95,1
153,2019-08-02 19:33:00,Pilau Rice,2.95,1
154,2019-08-02 19:33:00,Bhuna - Chicken,8.95,1
155,2019-08-02 19:19:00,Plain Papadum,0.8,3
156,2019-08-02 19:19:00,Lemon Rice,3.95,1
157,2019-08-02 19:19:00,Lamb Mysore,9.95,1
158,2019-08-02 19:19:00,Dhansak - Chicken,8.95,1
159,2019-08-02 19:19:00,Chapati,1.95,1
160,2019-08-02 19:14:00,Lamb Biryani,9.95,2
161,2019-08-02 19:14:00,Peshwari Naan,2.95,1
162,2019-08-02 18:41:00,Onion Bhajee,3.95,1
163,2019-08-02 18:41:00,Aloo Gobi,5.95,1
164,2019-08-02 18:41:00,Chicken Biryani,9.95,1
165,2019-08-02 18:41:00,Madras - Chicken,7.95,1
166,2019-08-02 18:41:00,Korma - Chicken,8.95,1
167,2019-08-02 18:41:00,Chicken Balti,9.95,1
168,2019-08-02 18:41:00,Chicken Tikka Chilli Masala,8.95,1
169,2019-08-02 18:41:00,Lal Mirch Chicken,9.95,1
170,2019-08-02 18:41:00,Korma - Prawn,9.95,1
171,2019-08-02 18:41:00,Korma - King Prawn,12.95,1
172,2019-08-02 18:41:00,Plain Rice,2.95,1
173,2019-08-02 18:41:00,Mushroom Rice,3.95,2
174,2019-08-02 18:41:00,Garlic Naan,2.95,1
175,2019-08-02 18:41:00,Keema Naan,2.95,1
